Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"41401-1","Friends","Play Cube",2020,"Stephanie's Play Cube - Baker",1,44,7.99,9.99,13.99,9.99,5702016618877,673419319850,15.3,20.5,5.2,0.09,"",1,1,0,,,,,,,,,6.9700,5.0000,"01/01/2020","31/03/2020"
"41402-1","Friends","Play Cube",2020,"Olivia's Play Cube - Researcher",1,40,7.99,9.99,13.99,9.99,5702016618884,673419319867,15.3,20.5,5.2,0.1,"",1,1,0,,,,,,,,,13.5000,,"01/01/2020","31/03/2020"
"41404-1","Friends","Play Cube",2020,"Emma's Play Cube - Photographer",1,40,7.99,9.99,13.99,9.99,5702016618907,673419319881,15.3,20.5,5.2,0.1,"",1,1,0,,,,,,,,,8.0000,9.9900,"01/01/2020","31/03/2020"
"41439-1","Friends","",2021,"Cat Grooming Car",2,60,8.99,9.99,13.99,9.99,5702016911503,,14,12,6,0.119,"",1,1,0,,,,,,,,,8.3400,7.2500,"01/01/2021","31/12/2022"
"41440-1","Friends","",2021,"Heartlake City Bakery",2,99,14.99,19.99,24.99,19.99,5702016913118,673419340496,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,15.9500,,"01/03/2021","31/12/2021"
"41663-1","Friends","Play Cube",2021,"Emma's Dalmatian Cube",1,41,8.99,9.99,13.99,9.99,5702016915570,673419341318,15.7,21,5.2,,"",1,1,0,,,,,,,,,8.0000,,"01/01/2021","31/12/2021"
"41677-1","Friends","Forest",2021,"Forest Waterfall",2,93,8.99,9.99,13.99,9.99,5702016916515,673419342155,14.1,12.2,6.1,,"",1,1,0,,,,,,,,,8.7200,,"01/06/2021","31/12/2023"
"41904-1","Dots","Accessories",2020,"Animal Picture Holders",,423,12.99,14.99,19.99,14.99,5702016668643,673419321778,22.3,22.3,5,,"",1,1,0,,,,,,,,,14.3700,10.0000,"01/03/2020","31/12/2020"
"41915-1","Dots","Accessories",2020,"Jewelry Box",,374,17.99,19.99,24.99,19.99,5702016668698,673419322379,27.3,22.3,5.2,0.4,"",1,1,0,,,,,,,,,22.5900,,"01/06/2020","31/12/2021"
"41926-1","Dots","Miscellaneous",2021,"Creative Party Kit",,622,21.99,24.99,29.99,24.99,5702016914863,,22.2,26.2,7.6,,"",1,1,0,,,,,,,,,20.9600,,"01/01/2021","31/12/2022"
"41937-1","Dots","Accessories",2021,"Multi Pack - Summer Vibes",,441,24.99,29.99,39.99,29.99,5702016915853,673419341486,27.3,22.3,5.2,,"",1,1,0,,,,,,,,,23.6000,,"01/06/2021","30/11/2021"
"41940-1","Dots","Bag Tag",2021,"Bag Tag Unicorn",,80,5.99,6.99,8.99,6.99,5702016915358,,7.8,11.3,5.2,,"",1,1,0,,,,,,,,,4.7000,,"01/08/2021","31/12/2021"
"42072-1","Technic","",2018,"WHACK!",,135,17.99,19.99,24.99,19.99,5702016093254,673419280464,26.2,14.1,7.2,0.3,"",1,1,0,,,,,,,,,22.7300,11.5800,"",""
"42073-1","Technic","",2018,"BASH!",,139,17.99,19.99,24.99,19.99,5702016093261,673419280471,26.2,14.1,7.2,0.3,"",1,1,0,,,,,,,,,21.8800,9.3300,"",""
"42101-1","Technic","",2020,"Buggy",,117,8.99,12.99,17.99,9.74,5702016616408,673419318549,15.7,14.1,6.1,0.15,"",1,1,0,,,,,,,,,13.3300,6.1200,"01/01/2020","31/12/2020"
"42103-1","Technic","",2020,"Dragster",,225,17.99,19.99,24.99,19.99,5702016616422,673419318563,26.2,14.1,7.2,0.35,"",1,1,0,,,,,,,,,16.8200,9.2800,"01/01/2020","31/12/2021"
"42104-1","Technic","",2020,"Race Truck",,227,17.99,19.99,24.99,19.49,5702016616439,673419318570,26.2,14.1,7.2,0.35,"",1,1,0,,,,,,,,,19.4600,10.0200,"01/01/2020","31/12/2020"
"42116-1","Technic","",2021,"Skid Steer Loader",,140,8.99,9.99,13.99,9.99,5702016889215,,15.7,14.1,7.1,,"",1,1,0,,,,,,,,,8.4300,5.9500,"01/01/2021","31/12/2022"
"42117-1","Technic","",2021,"Race Plane",,145,8.99,9.99,13.99,9.99,5702016890914,,15.7,14.1,6.1,,"",1,1,0,,,,,,,,,7.6100,7.6500,"01/01/2021","31/12/2023"
"42132-1","Technic","",2022,"Chopper",,163,8.99,12.99,16.99,9.99,5702017117096,,15.7,14.1,6.1,,"",1,1,0,,,,,,,,,8.8900,,"01/01/2022","31/12/2023"
"42133-1","Technic","",2022,"Telehandler",,143,8.99,12.99,16.99,9.99,5702017116914,,15.7,14.1,7.1,,"",1,1,0,,,,,,,,,9.4700,,"01/03/2022","31/12/2023"
"43178-1","Disney","Cinderella",2020,"Cinderella's Castle Celebration",1,168,24.99,29.99,39.99,29.23,5702016618648,673419319713,26.2,19.1,7.2,0.42,"",1,1,0,,,,,,,,,27.9300,,"01/01/2020","31/12/2020"
"43180-1","Disney","Beauty and the Beast",2020,"Belle's Castle Winter Celebration",8,238,44.99,49.99,69.99,49.99,5702016618655,673419319720,38.2,26.2,5.7,0.59,"",1,1,0,,,,,,,,,40.3600,38.5000,"01/06/2020","31/07/2021"
"43184-1","Disney","Raya and the Last Dragon",2021,"Raya and Sisu Dragon",1,216,27.99,29.99,39.99,29.99,5702016746907,673419327459,0,0,0,0,"",1,1,0,,,,,,,,,27.5500,17.1400,"01/03/2021","31/12/2021"
"43188-1","Disney","Sleeping Beauty",2020,"Aurora's Forest Cottage",2,300,34.99,39.99,49.99,39.99,5702016907971,,26.2,22.2,7.6,,"",1,1,0,,,,,,,,,37.3100,27.6000,"01/09/2020","31/12/2021"
"43189-1","Disney","Storybook Adventures",2021,"Elsa and the Nokk Storybook Adventures",5,125,17.99,19.99,24.99,19.99,5702016909159,,20.5,19.1,6.1,,"",1,1,0,,,,,,,,,18.2200,,"01/01/2021","31/12/2023"
"43191-1","Disney","The Little Mermaid",2021,"Ariel's Celebration Boat",2,114,24.99,29.99,39.99,29.99,5702016909944,,26.2,19.1,6.1,,"",1,1,0,,,,,,,,,26.2300,,"01/01/2021","31/12/2021"
"43193-1","Disney","Storybook Adventures",2021,"Ariel, Belle, Cinderella and Tiana's Storybook Adventures",5,130,21.99,24.99,29.99,24.99,5702016909647,673419337601,20.5,19.1,6.1,,"",1,1,0,,,,,,,,,20.2900,,"01/08/2021","31/12/2022"
"43195-1","Disney","Disney Princess",2021,"Belle and Rapunzel's Royal Stables",2,239,44.99,49.99,69.99,49.99,5702016909661,673419337625,38.2,26.2,5.7,,"",1,1,0,,,,,,,,,,,"01/08/2021","31/12/2022"
"43198-1","Disney","Frozen II",2022,"Anna's Castle Courtyard",1,74,8.99,9.99,13.99,9.99,5702017154282,,14.1,12.2,4.6,,"",1,1,0,,,,,,,,,8.1800,2.0000,"01/01/2022","31/12/2023"
"43208-1","Disney","Disney Princess",2022,"Jasmine and Mulan's Adventure",2,176,39.99,44.99,59.99,44.99,5702017154350,,35.4,19.1,5.9,,"",1,1,0,,,,,,,,,30.2900,,"01/01/2022","31/12/2023"
"60081-1","City","Great Vehicles",2015,"Pickup Tow Truck",2,209,17.99,19.99,24.99,19.99,5702015350198,673419230612,26.2128,19.1008,6.096,0.4086,"",1,1,0,,,,,,,,,36.1200,11.2100,"01/01/2015","31/12/2016"
"60084-1","City","Great Vehicles",2015,"Racing Bike Transporter",2,178,17.99,19.99,24.99,19.99,5702015350228,673419230643,26.2128,19.1008,6.096,0.3632,"",1,1,0,,,,,,,,,30.2000,11.2900,"01/01/2015","31/12/2016"
"60100-1","City","Airport",2016,"Airport Starter Set",4,81,8.99,9.99,12.99,9.99,5702015590556,673419247351,15.6972,14.097,6.096,0.1451494,"",1,1,0,,,,,,,,,12.2400,6.8800,"01/06/2016","31/12/2017"
"60107-1","City","Fire",2016,"Fire Ladder Truck",2,214,17.99,24.99,29.99,19.99,5702015591768,673419247863,26.2128,19.1008,6.096,0.4036969,"",1,1,0,,,,,,,,,33.6300,16.8500,"01/01/2016","31/12/2018"
"60146-1","City","Great Vehicles",2017,"Stunt Truck",1,91,7.99,9.99,12.99,9.99,5702015865722,673419264655,15.6972,14.097,6.096,0.172365,"",1,1,0,,,,,,,,,16.5200,6.4700,"",""
"60150-1","City","Great Vehicles",2017,"Pizza Van",2,249,14.99,19.99,24.99,19.99,5702015865784,673419264693,26.2128,19.1008,6.096,0.4127687,"",1,1,0,,,,,,,,,27.1900,18.2800,"",""
"60156-1","City","Jungle",2017,"Jungle Buggy",1,53,4.99,6.99,7.99,5.99,5702015866026,673419264341,12.192,9.0932,5.842,0.08618248,"",1,1,0,,,,,,,,,9.9700,3.9800,"01/06/2017","31/12/2018"
"60171-1","City","Mountain Police",2018,"Mountain Fugitives",4,88,9.99,9.99,12.99,9.99,5702016109542,,15.6,14,4.3,,"",1,1,0,,,,,,,,,9.6500,4.9400,"01/01/2018","31/12/2018"
"60172-1","City","Mountain Police",2018,"Dirt Road Pursuit",3,297,24.99,39.99,49.99,29.99,5702016077537,673419279840,28.1,26,7.3,0.6,"",1,1,0,,,,,,,,,30.6200,16.8800,"",""
"60177-1","City","Great Vehicles",2018,"Airshow Jet",1,87,7.99,9.99,12.99,9.99,5702016075151,,15.7,13.9,6,,"",1,1,0,,,,,,,,,12.5300,5.6400,"01/01/2018","31/12/2018"
"60178-1","City","Great Vehicles",2018,"Speed Record Car",1,78,7.99,9.99,12.99,9.99,5702016075168,,15.5,13.9,6,,"",1,1,0,,,,,,,,,12.3400,5.5100,"01/01/2018","31/12/2018"
"60180-1","City","Great Vehicles",2018,"Monster Truck",1,192,14.99,19.99,24.99,19.99,5702016077490,673419279802,26.2,19,6,0.381,"",1,1,0,,,,,,,,,19.7700,12.4700,"",""
"60181-1","City","Great Vehicles",2018,"Forest Tractor",1,174,17.99,19.99,24.99,19.99,5702016077506,673419279819,26,18.9,6,0.38,"",1,1,0,,,,,,,,,28.4300,17.4300,"",""
"60182-1","City","Great Vehicles",2018,"Pickup & Caravan",3,344,24.99,29.99,39.99,29.99,5702016077513,673419279826,35.1,18.9,6.8,0.65,"",1,1,0,,,,,,,,,50.5100,19.7500,"",""
"60184-1","City","Mining",2018,"Mining Team",4,82,9.99,9.99,12.99,9.99,5702019109504,673419280846,15.6,14,4.3,0.13,"",1,1,0,,,,,,,,,10.6400,7.1600,"01/01/2018","31/07/2019"
"60185-1","City","Mining",2018,"Mining Power Splitter",1,127,12.99,19.99,24.99,14.99,5702016109511,673419281454,26.2,14,6,0.263,"",1,1,0,,,,,,,,,14.0100,8.3700,"01/01/2018","31/07/2019"
"60190-1","City","Arctic",2018,"Arctic Ice Glider",1,50,4.99,6.99,8.99,5.99,5702016108781,673419281256,10.1,9.1,5.8,0.079,"",1,1,0,,,,,,,,,12.2000,3.0900,"01/06/2018","31/12/2019"
"60191-1","City","Arctic",2018,"Arctic Exploration Team",3,70,9.99,9.99,12.99,9.99,5702016108798,673419281263,15.6,13.9,4.4,0.116,"",1,1,0,,,,,,,,,12.5400,6.6700,"01/06/2018","31/12/2019"
"60192-1","City","Arctic",2018,"Arctic Ice Crawler",1,200,15.99,24.99,29.99,19.99,5702016109450,673419280792,26.1,18.8,5.9,0.34,"",1,1,0,,,,,,,,,22.1900,13.1700,"01/06/2018","31/12/2019"
"60207-1","City","Sky Police",2019,"Sky Police Drone Chase",3,192,17.99,29.99,39.99,19.49,5702016369564,673419303675,26,28.9,5.9,0.351,"",1,1,0,,,,,,,,,17.9300,11.3500,"",""
"60218-1","City","Great Vehicles",2019,"Desert Rally Racer",1,75,9.99,9.99,13.99,9.99,5702016369502,673419303514,15.6,14,6,0.161,"",1,1,0,,,,,,,,,9.6800,7.3700,"",""
"60222-1","City","Great Vehicles",2019,"Snow Groomer",2,197,17.99,19.99,24.99,19.49,5702016369540,673419303651,26,19,6,0.387,"",1,1,0,,,,,,,,,23.7300,15.9800,"",""
"60224-1","City","Mars Exploration",2019,"Satellite Service Mission",1,84,9.99,9.99,13.99,9.74,5702016369946,673419303910,15.6,13.9,6,0.153,"",1,1,0,,,,,,,,,10.0000,6.8900,"01/06/2019","31/12/2020"
"60225-1","City","Mars Exploration",2019,"Rover Testing Drive",2,202,17.99,29.99,39.99,19.49,5702016369953,,26,18.9,6,0.363,"",1,1,0,,,,,,,,,26.0400,18.4900,"01/06/2019","31/12/2020"
"60226-1","City","Mars Exploration",2019,"Mars Research Shuttle",2,273,24.99,39.99,49.99,29.99,5702016369960,,28.2,26,7.3,0.609,"",1,1,0,,,,,,,,,30.8100,19.2800,"01/06/2019","31/12/2021"
"60255-1","City","Traffic",2020,"Stunt Team",2,62,8.99,9.99,13.99,9.74,5702016617894,673419319232,15.6,14,4.4,0.104,"",1,1,0,,,,,,,,,10.8200,8.3200,"01/01/2020","31/12/2020"
"60310-1","City","Stuntz",2021,"Chicken Stunt Bike",1,10,6.99,7.99,9.99,7.99,5702017024226,,9.1,12.2,4.7,0.044,"",1,1,0,,,,,,,,,6.1100,7.5100,"01/10/2021","31/12/2022"
"60332-1","City","Stuntz",2022,"Reckless Scorpion Stunt Bike",1,15,6.99,7.99,9.99,7.99,5702017161945,,9.1,12.2,4.7,0.045,"",1,1,0,,,,,,,,,6.7000,,"01/06/2022","31/12/2023"
